iter	Passed	Remaining
482	677	724
483	678	723
484	680	722
485	681	721
486	683	719
487	685	718
488	686	717
489	688	716
490	689	715
491	691	713
492	693	712
493	694	711
494	696	710
495	697	708
496	698	707
497	700	705
498	701	704
499	703	703
500	704	701
501	705	700
502	707	699
503	708	697
504	710	696
505	711	694
506	713	693
507	714	692
508	716	690
509	717	689
510	719	688
511	720	686
512	722	685
513	723	684
514	724	682
515	726	681
516	727	679
517	728	678
518	730	676
519	731	675
520	732	673
521	734	672
522	736	671
523	737	670
524	739	668
525	740	667
526	741	665
527	743	664
528	744	662
529	745	661
530	747	659
531	748	658
532	749	657
533	751	655
534	753	654
535	754	653
536	755	651
537	757	650
538	758	648
539	760	647
540	761	646
541	762	644
542	764	643
543	765	641
544	767	640
545	768	639
546	770	637
547	771	636
548	773	635
549	774	633
550	776	632
551	777	631
552	779	629
553	780	628
554	782	627
555	783	625
556	785	624
557	786	622
558	787	621
559	789	620
560	791	618
561	792	617
562	796	618
563	798	616
564	799	615
565	800	614
566	802	612
567	803	611
568	805	609
569	806	608
570	808	607
571	810	606
572	811	604
573	813	603
574	814	602
575	816	600
576	817	599
577	818	597
578	819	596
579	821	594
580	822	593
581	823	591
582	825	590
583	826	588
584	828	587
585	829	585
586	830	584
587	831	582
588	833	581
589	834	579
590	835	578
591	837	576
592	838	575
593	840	574
594	841	572
595	842	571
596	844	569
597	845	568
598	846	566
599	848	565
600	849	564
601	851	562
602	852	561
603	854	560
604	855	558
605	857	557
606	858	556
607	860	554
608	861	553
609	862	551
610	864	550
611	865	548
612	867	547
613	868	546
614	869	544
615	871	543
616	872	541
617	874	540
618	875	539
619	877	537
620	878	536
621	880	534
622	881	533
623	882	531
624	883	530
625	885	529
626	887	527
627	888	526
628	890	525
629	891	523
630	893	522
631	894	521
632	896	519
633	897	518
634	899	516
635	900	515
636	902	514
637	903	512
638	904	511
639	906	509
640	907	508
641	909	507
642	910	505
643	912	504
644	913	502
645	914	501
646	916	500
647	918	498
648	919	497
649	921	496
650	922	494
651	924	493
652	925	491
653	927	490
654	928	489
655	930	487
656	931	486
657	933	485
658	935	483
659	936	482
660	938	481
661	939	479
662	941	478
663	942	477
664	944	475
665	946	474
666	947	473
667	949	471
668	950	470
669	952	468
670	953	467
671	954	466
672	956	464
673	958	463
674	959	462
675	961	460
676	962	459
677	964	458
678	966	456
679	967	455
680	969	453
681	970	452
682	971	451
683	973	449
684	974	448
685	976	446
686	978	445
687	979	444
688	981	442
689	983	442
690	985	440
691	987	439
692	988	438
693	990	436
694	993	435
695	994	434
696	996	433
697	997	431
698	998	430
699	1000	428
700	1002	427
701	1003	426
702	1005	424
703	1007	423
704	1009	422
705	1010	420
706	1012	419
707	1014	418
708	1015	416
709	1017	415
710	1019	414
711	1021	413
712	1023	412
713	1025	410
714	1027	409
715	1029	408
716	1031	406
717	1033	405
718	1034	404
719	1037	403
720	1039	402
721	1041	401
722	1043	399
723	1044	398
724	1046	396
725	1047	395
726	1049	394
727	1051	392
728	1053	391
729	1054	390
730	1056	388
731	1057	387
732	1059	385
733	1061	384
734	1063	383
735	1065	382
736	1067	381
737	1069	379
738	1072	378
739	1074	377
740	1076	376
741	1078	374
742	1080	373
743	1082	372
744	1084	371
745	1085	369
746	1087	368
747	1089	367
748	1091	365
749	1092	364
750	1094	362
751	1096	361
752	1098	360
753	1100	358
754	1102	357
755	1103	356
756	1105	354
757	1107	353
758	1109	352
759	1111	350
760	1113	349
761	1115	348
762	1117	347
763	1119	345
764	1121	344
765	1122	342
766	1124	341
767	1126	340
768	1128	339
769	1130	337
770	1132	336
771	1133	334
772	1135	333
773	1137	332
774	1138	330
775	1140	329
776	1142	327
777	1143	326
778	1145	324
779	1146	323
780	1148	322
781	1150	320
782	1151	319
783	1153	317
784	1154	316
785	1156	314
786	1158	313
787	1159	312
788	1161	310
789	1163	309
790	1164	307
791	1166	306
792	1167	304
793	1170	303
794	1171	302
795	1173	300
796	1175	299
797	1177	297
798	1178	296
799	1180	295
800	1182	293
801	1183	292
802	1185	290
803	1187	289
804	1188	287
805	1190	286
806	1191	284
807	1193	283
808	1194	282
809	1196	280
810	1198	279
811	1199	277
812	1201	276
813	1203	274
814	1204	273
815	1206	271
816	1207	270
817	1209	268
818	1210	267
819	1212	266
820	1213	264
821	1215	263
822	1217	261
823	1218	260
824	1220	258
825	1221	257
826	1223	255
827	1225	254
828	1226	253
829	1228	251
830	1230	250
831	1231	248
832	1233	247
833	1235	245
834	1236	244
835	1238	242
836	1239	241
837	1241	239
838	1242	238
839	1244	237
840	1246	235
841	1247	234
842	1249	232
843	1250	231
844	1252	229
845	1254	228
846	1255	226
847	1257	225
848	1258	223
849	1260	222
850	1261	220
851	1263	219
852	1264	217
853	1266	216
854	1267	215
855	1269	213
856	1271	212
857	1273	210
858	1274	209
859	1276	207
860	1278	206
861	1280	204
862	1281	203
863	1283	201
864	1284	200
865	1286	199
866	1287	197
867	1289	196
868	1290	194
869	1292	193
870	1294	191
871	1296	190
872	1297	188
873	1299	187
874	1300	185
875	1302	184
876	1304	182
877	1305	181
878	1307	180
879	1309	178
880	1311	177
881	1313	175
882	1315	174
883	1317	172
884	1319	171
885	1322	170
886	1324	168
887	1326	167
888	1328	165
889	1331	164
890	1333	163
891	1335	161
892	1337	160
893	1339	158
894	1341	157
895	1343	155
896	1345	154
897	1346	152
898	1348	151
899	1350	150
900	1352	148
901	1354	147
902	1357	145
903	1358	144
904	1360	142
905	1362	141
906	1364	139
907	1366	138
908	1368	136
909	1370	135
910	1372	134
911	1374	132
912	1376	131
913	1378	129
914	1380	128
915	1382	126
916	1384	125
917	1385	123
918	1387	122
919	1389	120
920	1391	119
921	1393	117
922	1394	116
923	1396	114
924	1398	113
925	1400	111
926	1402	110
927	1404	108
928	1405	107
929	1407	105
930	1409	104
931	1411	102
932	1413	101
933	1415	100
934	1417	98
935	1419	97
936	1420	95
937	1422	94
938	1424	92
939	1426	91
940	1428	89
941	1430	88
942	1431	86
943	1433	85
944	1435	83
945	1436	82
946	1438	80
947	1439	78
948	1441	77
949	1443	75
950	1444	74
951	1446	72
952	1447	71
953	1449	69
954	1450	68
955	1451	66
956	1453	65
957	1454	63
958	1456	62
959	1458	60
960	1459	59
961	1461	57
962	1463	56
963	1464	54
964	1465	53
965	1467	51
966	1468	50
967	1469	48
968	1471	47
969	1473	45
970	1475	44
971	1476	42
972	1477	41
973	1479	39
974	1481	37
975	1482	36
976	1484	34
977	1485	33
978	1487	31
979	1489	30
980	1490	28
981	1492	27
982	1493	25
983	1495	24
984	1496	22
985	1498	21
986	1499	19
987	1501	18
988	1503	16
989	1505	15
990	1506	13
991	1508	12
992	1510	10
993	1511	9
994	1513	7
995	1514	6
996	1516	4
997	1517	3
998	1519	1
999	1520	0
